draw_id,draw_time,hour,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20
1099442,1970-01-01 00:28:39.012000,0,55,68,20,51,11,44,23,79,57,78,21,59,24,1,34,71,60,40,45,35
1099441,1970-01-01 00:28:39.011700,0,35,28,63,26,73,38,33,68,39,15,65,1,62,30,44,57,25,9,27,54
1099440,1970-01-01 00:28:39.011400,0,47,75,49,17,55,79,59,1,36,18,24,63,4,37,10,51,15,19,22,5
1099737,1970-01-01 00:28:39.100500,0,62,15,11,44,17,8,30,56,22,34,26,65,39,58,54,6,71,67,29,59
1099736,1970-01-01 00:28:39.100200,0,17,24,75,49,35,52,2,47,51,29,10,77,37,13,23,68,39,58,19,53
1099735,1970-01-01 00:28:39.099900,0,65,55,39,19,15,47,57,9,30,37,20,45,41,8,18,40,63,46,10,74
1099734,1970-01-01 00:28:39.099600,0,54,50,70,15,10,73,3,14,64,35,51,52,25,75,49,22,20,44,37,48
1099733,1970-01-01 00:28:39.099300,0,17,6,30,61,80,63,32,58,67,12,26,57,74,65,53,72,5,3,1,51
1099732,1970-01-01 00:28:39.099000,0,8,7,22,72,2,50,16,47,68,42,79,10,55,48,41,53,38,32,76,61
1099731,1970-01-01 00:28:39.098700,0,35,70,34,29,74,27,5,6,72,12,66,19,77,71,78,57,69,18,32,63
1099730,1970-01-01 00:28:39.098400,0,79,48,49,13,8,36,64,63,28,60,67,54,6,22,80,39,61,69,16,47
